UserID,UserID,Name,Surname,Email,Gender,Age_Group,Age_Category,Race,Province,Instagram_Handles,Channel2,LocalTime_SAST,Duration 2
33773,33773,None,None,Torrie 294@abcmail.com,None,0-9,Child/Infant,None,None,None,ICC Cricket World Cup 2011,3/12/2016 10:50,2026-04-16T00:00:08.000Z
39353,39353,None,None,Rebekah 374@abcmail.com,None,0-9,Child/Infant,None,None,None,Trace TV,1/5/2016 3:54,2026-04-16T00:03:30.000Z
45769,45769,None,None,Emilie 443@mail.com,None,0-9,Child/Infant,None,None,None,ICC Cricket World Cup 2011,3/12/2016 13:28,2026-04-16T00:01:44.000Z
51888,51888,Katharina ,Condie,Katharina 135@mailxyz.com,female,20-29,Young Adults,black,Mpumalanga,@Katharina 13,SawSee,1/6/2016 9:02,2026-04-16T00:00:47.000Z
69707,69707,Samuel ,Pascarella,Samuel 264@abcmail.com,male,30-39,Adult,indian_asian,Kwazulu Natal,@Samuel 26,SuperSport Blitz,3/20/2016 0:13,2026-04-16T00:01:50.000Z
82389,82389,None,None,Sharri 332@gmail.com,None,0-9,Child/Infant,None,None,None,DStv Events 1,1/8/2016 13:33,2026-04-16T00:09:30.000Z
102190,102190,Haywood ,Sieren,Haywood 94@abcmail.com,male,40-49,Mid Adult,white,Gauteng,@Haywood 9,ICC Cricket World Cup 2011,3/25/2016 17:40,2026-04-16T00:02:40.000Z
103657,103657,Romeo ,Tatham,Romeo 372@gmail.com,male,20-29,Young Adults,white,Mpumalanga,@Romeo 37,M-Net,3/19/2016 19:11,2026-04-16T00:02:58.000Z
173765,173765,None,None,Tiffani 292@gmail.com,None,0-9,Child/Infant,None,None,None,Trace TV,1/8/2016 9:29,2026-04-16T00:01:03.000Z
268737,268737,Wilburn ,Mccown,Wilburn 305@mailxyz.com,male,20-29,Young Adults,black,Gauteng,@Wilburn 30,Supersport Live Events,1/10/2016 22:15,2026-04-16T00:01:36.000Z
370331,370331,Epifania ,Crotty,Epifania 65@mailxyz.com,female,30-39,Mid Adult,white,Gauteng,@Epifania 6,ICC Cricket World Cup 2011,2/24/2016 12:10,2026-04-16T00:03:40.000Z
582217,582217,Robby ,Holt,Robby 164@abcmail.com,male,30-39,Adult,black,Mpumalanga,@Robby 16,Channel O,1/1/2016 23:04,2026-04-16T00:00:27.000Z
582393,582393,Lloyd ,Mcclaine,Lloyd 73@mail.com,male,30-39,Adult,indian_asian,Kwazulu Natal,@Lloyd 7,Trace TV,1/1/2016 16:57,2026-04-16T00:00:15.000Z
590330,590330,Michel ,Arrieta,Michel 205@mailxyz.com,male,19-Oct,Young Adults,white,Mpumalanga,@Michel 20,Boomerang,1/7/2016 1:13,2026-04-16T00:06:04.000Z
593270,593270,Rebecka ,Shkreli,Rebecka 242@gmail.com,female,30-39,Adult,white,North West,@Rebecka 24,DStv Events 1,1/2/2016 19:39,2026-04-16T00:15:55.000Z
596969,596969,Teresia ,Beville,Teresia 505@mailxyz.com,female,30-39,Adult,black,Gauteng,@Teresia 50,Cartoon Network,1/4/2016 19:43,2026-04-16T00:01:47.000Z
